"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16"
"Caregivers_CLHIV_27","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,"Elimu izidi kutolewa",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_28","Caregivers_CLHIV","Kwa sababu hii ni sehemu ya Maisha yetu","Wengi wao viongozi wa dini wapo kututia moyo","Nimefurai Kwa sababu serikal imekua ikitueka kwenye mfumo sahihi","Watoa huduma wapo vizuri Sana wanafanya kazi yao vyem","Watoa huduma wapo vizuri Sana Kwenye lugha wana Kauli nzuri kwetu","Sijaona ubaguzi wowote zaidi ya watoa huduma kutuweka pamoja",NA,"Niliwahi kukumbana na changamoto Kwa mwenza wangu lakini ilifika mahala akapatiwa Elimu na kuikubali",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_29","Caregivers_CLHIV","Naridhika kabisa","Baadhi ya viongozi wa dini wanashauli kuacha matumizi ya Dani Kwa Lengo la kukushauli ufanye maombi zaid.. hivyo nalidhika kiasi Kwa ndogo inayofanywa na baadhi wa viongozi wa dini","Serikali nimechukua dhamana Mkubwa kuakikisha tunaishi vizur","Naridhika Kwa sababu Kila ninapofika huduma nazipata Kwa wakati pia nasikilizwa vizr","Matendo ya watoa huduma za afya Kwa waviu yapo vizuri","Naridhika Kwa sababu wanazuia unyanyapaa Kwa watu pia wanazuia watu kuwanyanyapaa watu wengine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_30","Caregivers_CLHIV","Kwa sababu Mtu akizingatia mashalti ya watoa huduma anakia hana uwezo wa kuambukiza","Sijaridhishwa kasababu wengi wao wanatudanganya tuache kutumia dawa Ili watombee Kwa kutukalilisha tukiombew tutapona kabisa hivyo baadhi wa watu wanaacha matumizi ya dawa",NA,"Watoa huduma hawana ubaguzi wapo vizur",NA,"Wanatuhudumia vizuri akuna kunyanyapaaji wa ubaguzi",NA,"Kwa sababu naishi kwenyew Sina mwenza",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_31","Caregivers_CLHIV",NA,NA,"Naridhika Sana Kwa mchango Mkubwa unao tolewa na serikali pamoja na wadau mbalimbali","Wanatoa huduma Kwa unyenyekevu Mkubwa Sana wapo vizuri","Sijaona lugha mbaya wala Maneno mabaya kwaiy wapo vizr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_32","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_33","Caregivers_CLHIV",NA,"Kwasabu viongozi wa dini wanatupotosha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_34","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_35","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,"Nimeridhika kiasi kwasababu Wana unyanyapa",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_36","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_37","Caregivers_CLHIV","Naridhika kwasababu wanajitambua na wanatumia dawa vizuri na wanaamini kwamba wapo kwenye group zuri","Sijaridhika kwasababu wanaaminisha watu waache dawa na matokeo yake watu wanafariki",NA,NA,NA,NA,NA,"Nimeridhika kwasababu kama familia ili nipokea vinzuri na kuona kwamba nikitu ambacho tayari kimetokea",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_38","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_39","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_40","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_41","Caregivers_CLHIV","waendelee na huduma",NA,"ana toa shukulani na waendelee kutupa hudum hii ni mzuri san",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_42","Caregivers_CLHIV","waendelee  kutuerimisha zaid na zaid",NA,NA,NA,NA,"elimu itolewe kwenye jaami ili unyanyapaa uishe katika jamii","elimu ifike vijijin ili unyanya paa uishe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_43","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_44","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_45","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_46","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_47","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_48","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_49","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_50","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_51","Caregivers_CLHIV","Hating uelew nimesikia leo elim itolew zaid","Sijajua",NA,NA,NA,"Hila Kwenye Jamii bad ni changamoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_52","Caregivers_CLHIV","Watu wengi wanasuasua kutumi dawa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_53","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
