"respondent_id","group","sex","Uelewa wa watoa huduma ngazi ya kituo na jamii juu ya changamoto zinazowakabili akina mama WAVIU na watoto kufika kituoni","Aina ya msaada unaotolewa na watoa huduma ngazi ya kituo cha afya kutatua changamoto  za mama MVIU mwenye mtoto mwenye umri chini ya miaka miwili (2)- Upimaji, DBS, Matumizi ya dawa, ushauri na kuweka wazi hali ya maambukizi","Aina ya msaada unaotolewa na watoa huduma ngazi ya jamii kutatua changamoto zinazomkabili mama MVIU na mwanae mwenye umri chini ya miaka miwili (2)","Juhudi zinazofanywa na wahudumu wa afya ngazi ya kituo kuwaibua watoto wapya wanaoishi na maambukizi ya VVU","Juhudi zinazofanywa na wahudumu wa afya ngazi ya jamii, waelimisha rika na mama vinara kuwaibua watoto wapya wanaoishi na maambukuzi ya VVU","Utaratibu unaotumika na wahudumu wa afya ngazi ya kituo, CHW, waelimisha rika na mama vinara kudodosa taarifa za familia ili kuwapata watoto chini ya miaka miwili na wale chini ya miaka 15 kupima VVU (chini ya miaka 2, 3-9,10-14,15-19)","Utaratibu unaotumika na wahudumu wa afya ngazi ya jamii kudodosa taarifa za familia ili kuwapata watoto miaka miwili na wale chini ya miaka 15 kupima VVU","Utunzaji wa siri za watumia huduma katika zoezi zima la kuwaibua watoto wao kwa ajili ya upimaji wa VVU","Msaada unaotolewa na wadau katika kuwafikisha kituoni watoto kutoka katika jamii kwa ajili ya huduma ya upimaji wa VVU","Utaratibu wa kupima VVU na kuanza dawa hapo hapo","Uhamasishaji watoto wako wa kuzaa wenye umri chini ya miaka 15 kwenda kupima VVU (chini ya miaka 2, 3-9,10-14,15-19)","Huduma za Upimaji wa VVU","Mizunguko ya uchukuaji wa sampuli za DBS kwa watoto   (wakati wa kujifungua (mara baada ya kuzaliwa, wiki 6, miezi 9, 15, na 18)","Matokeo/majibu ya DBS yanatoka ndani ya muda uliopangwa (wiki 2)","Endapo majibu yalichelewa - Sababu ulizopewa za kuchelewa kwa matokeo ya kipimo cha  DBS","Utaratibu wa sasa wa kuwasaidia  WAVIU wapya kuunganishwa na huduma za tiba (Kwenye jamii na kituo)","Msaada utolewao ngazi ya kituo kwa mama MVIU na mwanae chini ya miaka miwili (2) mwenye changamoto za kimaisha kufika kituoni kwa wakati (HEI mothers)","Msaada utolewao ngazi ya jamii kwa mama MVIU na mwanae chini ya miaka miwili (2) mwenye changamoto za kimaisha kufika kituoni kwa wakati (kijamii na kiuchumi)","Rufaa zinazotolewa na CHWs, Waelimishaji rika, mama vinara na wakunga","Uwepo wa huduma ya kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto","Upatikanaji wa huduma ya kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto","Elimu inayotolewa kuzuia maambukizi mapya katika vituo na jamii","Umbali kutoka nyumbani mpaka kliniki husika","Mtiririko wa Huduma katika kliniki husika","Muda wa kusubiria huduma katika kliniki husika","Gharama inayotumika  wakati wa miadi ya kliniki","Msaada unaotolewa na wadau pale unapokuwa na changamoto ya kufika kliniki","Utoaji wa Dawa kwa Mwezi 1 (wanaonyonyesha na wajawazito)","Utoaji wa Dawa kwa Miezi 3","Utoaji wa Dawa kwa Miezi 6","Vipindi vya Ushauri wa matumizi ya Tiba","Uwepo wa watoa huduma wanaohitajika katika kituo","Mda unaotumia kusubiri kabla ya kupata huduma za tiba na matunzo (Sanduku la maoni, ofisi ya malalamiko, mituha na simu)","Uwepo wa utaratibu wa kupokea maoni ya mpokea huduma","Upatikanaji wa huduma mkoba inayomlenga mama na mtoto( makundi mengine)","Ushiriki katika kujadili maoni ya wapokea huduma","Huduma na ushauri wa matumizi ya dawa na unyonyeshaji kwa mama mwenye maambukizi ya VVU anayenyonyesha","Wahudumu wa afya kusikiliza maoni na ushauri wa akina mama wanaonyonyesha, wajawazito na watoto chini ya miaka 18 kuhusu huduma","Usaidizi unaotolewa na wadau kwa akina mama wenye changamoto za matumizi ya dawa na unyonyeshaji( Jamii na kituo)","Usaidizi unaotolewa na wasaidizi wa Tiba /Wakiri Tiba (waelimishaji rika na mama vinara) kuhusu matumizi ya Tiba Nyumbani kwa watoto wenye umri chini ya miaka18","Ujumbe Kuhusu Havionekani = Haviambukizi (H=H)","Juhudi za kupinga upotoshaji wa Tiba ikiwa ni pamoja na Havionekani = Haviambukizi (H=H)","Msaada kwa watoto WAVIU walioko mashuleni ( kwa wazazi na watoto wenyewe)","Msaada kwa watoto WAVIU majumbani","Upatikanaji rahisi wa huduma za kipimo cha kiwango cha virusi katika kituo","Majibu yanarudi ndani ya muda uliopangwa (wiki 2)","Endapo majibu yalichelewa - Sababu ulizopewa za kuchelewa kwa majibu  ya wingi wa virusi","Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa","Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU","Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii","Huduma kwa waliokumbwa na unyanyapaa na ubaguzi","Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi"
"PBFW_22","PBFW",NA,5,5,1,5,2,2,1,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,2,5,5,5
"PBFW_23","PBFW",NA,3,5,3,3,3,4,3,5,3,4,5,3,3,4,3,5,3,3,3,4,4,5,2,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,5,3,4,3,3,3,3,4,3,1,4,3,1,3
"PBFW_24","PBFW",NA,3,3,3,3,3,3,3,4,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3
"PBFW_25","PBFW",NA,2,3,3,3,1,2,3,3,5,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,1,1,3,3,1,3,3,3,3,3
"PBFW_26","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,2,3,1,3,1,3,4,3,3,1,4,3,4,3,3,3,3,3,3,3,1,3,1,1,4,2,1,1,1
"PBFW_27","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,3,3,3,3,5,4,3,3,5,3,5,4,3,4,5,4,5,3,3,3,3,5,5,5,3,1,3,3,3,5,2,1,3,3,3,3,1
"PBFW_28","PBFW",NA,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_29","PBFW",NA,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3
"PBFW_30","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,3,3
"PBFW_31","PBFW",NA,5,5,3,5,5,5,4,2,5,5,5,5,5,3,3,5,5,5,3,5,5,3,3,5,3,3,4,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,5,3,3,4,5,5
"PBFW_32","PBFW",NA,5,5,4,5,3,3,5,5,4,4,3,3,3,3,3,3,5,3,4,4,3,5,2,4,5,3,3,3,3,3,5,3,3,5,3,3,4,3,5,3,5,3,3,3,4,4,3,3,3,3,3,5
"PBFW_33","PBFW",NA,3,5,5,3,4,5,3,5,3,3,5,3,5,4,5,5,4,5,5,3,5,3,3,5,3,3,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3,3,5,4,3,5,4,3,5,5,3,3
"PBFW_34","PBFW",NA,5,3,5,3,5,5,4,5,5,4,3,3,5,3,5,3,4,3,5,3,5,3,3,5,3,5,5,3,5,3,5,3,5,3,4,3,5,3,3,5,3,5,3,3,5,3,5,3,5,3,5,3
"PBFW_35","PBFW",NA,5,4,4,3,5,5,5,3,3,5,5,3,5,3,5,5,5,5,3,5,5,3,3,5,3,3,5,5,5,3,5,3,5,3,5,3,4,5,3,5,5,5,3,3,3,5,3,5,3,3,5,4
"PBFW_36","PBFW",NA,5,5,4,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,3,5,3,3,3,3,3,5,3,3,3,3,5,5,3,5,3,5,5,5,5,3,5,5,3,3,3,5,3,3,3,3,3
"PBFW_37","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_38","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_39","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_40","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_41","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_42","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_43","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_44","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_45","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_46","PBFW",NA,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_47","PBFW",NA,4,5,3,4,4,4,3,3,3,4,5,3,4,4,3,4,4,3,4,3,3,3,3,3,2,1,3,3,4,3,3,1,2,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3
"PBFW_48","PBFW",NA,3,3,3,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,4,3,4,5,3,4,1,4,4,4,4,4,1,4,3,3,3,4,3,4,3,4,3,4,4,4,3,4,3,4,4,4,3
"PBFW_49","PBFW",NA,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,1,3,4,3,2,4,2,2,4,4,3,4,4,3,3,3,2,3,3,2,3,2,3,4,4,3,3
"PBFW_50","PBFW",NA,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,1,4,3,3,3,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_51","PBFW",NA,5,4,3,4,4,3,4,5,5,4,4,3,3,2,5,4,5,3,2,5,4,5,3,5,5,3,5,2,5,5,5,3,2,3,5,5,2,5,2,5,5,5,4,4,3,5,2,2,4,5,5,4
"PBFW_52","PBFW",NA,5,2,4,5,5,5,4,5,5,5,5,4,4,5,3,4,3,2,5,4,5,5,4,4,5,3,4,4,5,4,3,3,3,3,4,5,4,4,4,4,4,5,5,3,4,5,5,5,4,4,4,3
"PBFW_53","PBFW","Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3
"PBFW_54","PBFW",NA,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,5,4,3,4,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4
"PBFW_55","PBFW",NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"PBFW_56","PBFW",NA,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5
"PBFW_57","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_58","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_59","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_60","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_61","PBFW",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PBFW_62","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,2,3,2,3,3,3,2
"PBFW_63","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,4,3,3,3,3,3,3,3,2,4,3,2,3,2,2,2,2,3,2,2,3,3,2,3,3
"PBFW_64","PBFW",NA,3,3,3,1,3,1,3,3,1,3,3,3,3,1,2,3,1,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,1,1,3,1,3,3,3,3,1,1,3,1,2,3,3,3,3,3
"PBFW_65","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_66","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_67","PBFW",NA,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_68","PBFW",NA,3,5,3,5,5,5,4,5,4,5,5,3,5,4,3,5,3,3,5,5,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,5,3,3,5,5,5,5,5
"PBFW_69","PBFW",NA,3,3,4,3,4,3,5,5,5,3,4,5,3,3,3,5,3,3,3,5,3,3,5,3,3,3,5,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
"PBFW_70","PBFW",NA,2,3,3,5,3,3,4,5,3,5,3,5,3,3,3,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,5,3,3,3
"PBFW_71","PBFW",NA,3,5,3,3,4,3,3,3,3,3,3,2,4,4,2,5,3,5,2,3,4,5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"PBFW_72","PBFW",NA,4,3,3,5,5,5,3,3,5,3,5,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3
