"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16"
"HIV_Community_45","HIV_Community","Huduma ziendelee za upimaji 

Na pia kuhamasisha watu kupima","Huduma ziendelee za upimaji kwenye jamii","Changamoto usafiri kuna mda mtu hana nauli ya kwenda kituo Cha afya",NA,NA,"Ki ukwel ubaguzi hawana na ukarimu wanao pia",NA,"Wanaohusika na upimaji wajitume Zaid",NA,"Misaada haionekani","Watu hawaji kuhamasisha na kutoa elimu ya vvu","Clhiv sijawai kuwaona","Hawa hawaonekani wakija mitaani","Kwa kwel hawatengwi","Madaktari wanajitahidi","Madaktari wanajitahidi kumbeleza Zaid kuwasaidia watu"
"HIV_Community_46","HIV_Community","Sione watu wanoa fatilia watu kupima",NA,NA,"Sijui kwasababu sijaona mtu akipata hizo huduma na Sina mtu anae pewa hizo huduma labda ningekua","Huduma hazitangazwi",NA,"Sijawai kuona watu wakipatiwa hizo huduma na wanasubilishwa kwa mda gani","Huduma Zina kuwepo kwenye vituo",NA,"Huduma ni nzuri",NA,NA,"Huduma hizo sizijui",NA,"Huduma hazionekani","Huduma hazionekani"
"HIV_Community_47","HIV_Community","Zipo Zinazunguka jamii","Baadhi ya familia hazikubali kuishi na waviu","Watu wa mjini wapo karibu navituo ila kwa vijijini ni shida kwani wapo mbali na vituo","Serikali itilie mkazo vijijini na serikali iongeze huduma vijijini kwa wapokea huduma","Vvu ni janga la taifa haya mamb yawe wazi madaktari wawe wazi kwa ndugu kumsaidia mviu","Mtoa huduma awe mwaminifu sababu sio wote madaktari hawana ubaguzi.

Mzee hapa alikua na swali kuhusu ni mda gani serikali ilipokea huu ugonjwa na imekwama wapi?","Utaratibu ubadirishwe",NA,"Hajui kama hizo dawa zipo",NA,NA,"Wanapita Hawa wanaotoa misaada kwenye jamii","Silijui",NA,"Yanaonekana kwenye serikali za mitaa",NA
"HIV_Community_48","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_49","HIV_Community",NA,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_50","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_51","HIV_Community",NA,NA,NA,NA,"Huduma ni nzur",NA,NA,NA,NA,NA,NA,NA,"Baadhi wanawanyanyapaa kwa kukosa elimu",NA,NA,NA
"HIV_Community_52","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_53","HIV_Community",NA,"Huwa wanapata matangazo watu wanaenda kupima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unyapapaa umepungua sio sawa na zaman",NA,"Hajawah kuckia kama kuna watu watu wanapelekewa nyumban",NA
"HIV_Community_54","HIV_Community","Hajui",NA,"Hana hyo elimu",NA,NA,NA,NA,NA,NA,"Hajawahi kuwackia","Cna elimu hyo",NA,NA,NA,NA,NA
"HIV_Community_55","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_56","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_57","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_58","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_59","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_60","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_61","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_62","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_63","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_64","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_65","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_66","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_67","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_68","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_69","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
